frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
67,1.440000e+00,9.995766e-01,9.433691e-03,5.873351e+00,8.908004e-01,9.567151e-02,1.220137e-02,1.226275e-03,9.469683e-05,5.529619e-06,2.411360e-07,7.722672e-09,1.774012e-10,2.819420e-12,2.922729e-14,1.769514e-16,4.759446e-19
68,1.460000e+00,9.995706e-01,9.522081e-03,5.870464e+00,8.885541e-01,9.739315e-02,1.265133e-02,1.293517e-03,1.016109e-04,6.033696e-06,2.674640e-07,8.702286e-09,2.029440e-10,3.271654e-12,3.436949e-14,2.106244e-16,5.725218e-19
69,1.480000e+00,9.995646e-01,9.610709e-03,5.867559e+00,8.863028e-01,9.911016e-02,1.310837e-02,1.362905e-03,1.088628e-04,6.570950e-06,2.959719e-07,9.779322e-09,2.314401e-10,3.783178e-12,4.026136e-14,2.496644e-16,6.856380e-19
70,1.500000e+00,9.995586e-01,9.699255e-03,5.864637e+00,8.840479e-01,1.008214e-01,1.357231e-02,1.434435e-03,1.164587e-04,7.142549e-06,3.267736e-07,1.096046e-08,2.631388e-10,4.359882e-12,4.698806e-14,2.947520e-16,8.175848e-19
71,1.520000e+00,9.995525e-01,9.787359e-03,5.861701e+00,8.817909e-01,1.025256e-01,1.404294e-02,1.508100e-03,1.244041e-04,7.749634e-06,3.599832e-07,1.225254e-08,2.983001e-10,5.008016e-12,5.464124e-14,3.466294e-16,9.708894e-19
72,1.540000e+00,9.995464e-01,9.874632e-03,5.858753e+00,8.795332e-01,1.042214e-01,1.452003e-02,1.583888e-03,1.327040e-04,8.393309e-06,3.957154e-07,1.366258e-08,3.371952e-10,5.734192e-12,6.331922e-14,4.061029e-16,1.148330e-18
73,1.560000e+00,9.995402e-01,9.960674e-03,5.855793e+00,8.772765e-01,1.059075e-01,1.500333e-02,1.661783e-03,1.413630e-04,9.074641e-06,4.340843e-07,1.519771e-08,3.801053e-10,6.545381e-12,7.312711e-14,4.740457e-16,1.352953e-18
74,1.580000e+00,9.995339e-01,1.004510e-02,5.852824e+00,8.750225e-01,1.075825e-01,1.549260e-02,1.741763e-03,1.503850e-04,9.794653e-06,4.752033e-07,1.686519e-08,4.273216e-10,7.448907e-12,8.417696e-14,5.513997e-16,1.588086e-18
75,1.600000e+00,9.995276e-01,1.012760e-02,5.849849e+00,8.727729e-01,1.092449e-01,1.598753e-02,1.823804e-03,1.597732e-04,1.055432e-05,5.191849e-07,1.867236e-08,4.791445e-10,8.452449e-12,9.658784e-14,6.391787e-16,1.857351e-18
76,1.620000e+00,9.995212e-01,1.020791e-02,5.846868e+00,8.705295e-01,1.108933e-01,1.648786e-02,1.907876e-03,1.695304e-04,1.135457e-05,5.661399e-07,2.062663e-08,5.358830e-10,9.564027e-12,1.104859e-13,7.384699e-16,2.164682e-18
77,1.640000e+00,9.995148e-01,1.028592e-02,5.843885e+00,8.682941e-01,1.125262e-01,1.699326e-02,1.993944e-03,1.796586e-04,1.219627e-05,6.161775e-07,2.273547e-08,5.978541e-10,1.079200e-11,1.260044e-13,8.504361e-16,2.514342e-18
78,1.660000e+00,9.995083e-01,1.036162e-02,5.840901e+00,8.660686e-01,1.141421e-01,1.750342e-02,2.081969e-03,1.901592e-04,1.308023e-05,6.694045e-07,2.500637e-08,6.653823e-10,1.214505e-11,1.432840e-13,9.763178e-16,2.910930e-18
79,1.680000e+00,9.995017e-01,1.043522e-02,5.837919e+00,8.638545e-01,1.157398e-01,1.801801e-02,2.171909e-03,2.010330e-04,1.400721e-05,7.259254e-07,2.744680e-08,7.387983e-10,1.363219e-11,1.624722e-13,1.117434e-15,3.359403e-18
80,1.700000e+00,9.994950e-01,1.050698e-02,5.834941e+00,8.616538e-01,1.173177e-01,1.853670e-02,2.263717e-03,2.122802e-04,1.497789e-05,7.858421e-07,3.006425e-08,8.184392e-10,1.526272e-11,1.837241e-13,1.275186e-15,3.865087e-18
81,1.720000e+00,9.994882e-01,1.057726e-02,5.831968e+00,8.594680e-01,1.188747e-01,1.905915e-02,2.357341e-03,2.239004e-04,1.599291e-05,8.492536e-07,3.286614e-08,9.046468e-10,1.704622e-11,2.072016e-13,1.451056e-15,4.433692e-18
82,1.740000e+00,9.994814e-01,1.064655e-02,5.829003e+00,8.572987e-01,1.204096e-01,1.958502e-02,2.452729e-03,2.358926e-04,1.705283e-05,9.162560e-07,3.585986e-08,9.977675e-10,1.899259e-11,2.330740e-13,1.646608e-15,5.071325e-18
83,1.760000e+00,9.994745e-01,1.071539e-02,5.826048e+00,8.551474e-01,1.219214e-01,2.011400e-02,2.549824e-03,2.482553e-04,1.815817e-05,9.869423e-07,3.905272e-08,1.098152e-09,2.111194e-11,2.615177e-13,1.863492e-15,5.784499e-18
84,1.780000e+00,9.994675e-01,1.078435e-02,5.823104e+00,8.530153e-01,1.234089e-01,2.064574e-02,2.648566e-03,2.609867e-04,1.930936e-05,1.061403e-06,4.245196e-08,1.206152e-09,2.341465e-11,2.927157e-13,2.103443e-15,6.580149e-18
85,1.800000e+00,9.994604e-01,1.085396e-02,5.820174e+00,8.509038e-01,1.248716e-01,2.117993e-02,2.748895e-03,2.740845e-04,2.050680e-05,1.139725e-06,4.606472e-08,1.322125e-09,2.591132e-11,3.268585e-13,2.368278e-15,7.465643e-18
86,1.820000e+00,9.994532e-01,1.092470e-02,5.817258e+00,8.488138e-01,1.263086e-01,2.171629e-02,2.850749e-03,2.875460e-04,2.175085e-05,1.221994e-06,4.989807e-08,1.446428e-09,2.861275e-11,3.641429e-13,2.659900e-15,8.448793e-18
87,1.840000e+00,9.994460e-01,1.099699e-02,5.814357e+00,8.467462e-01,1.277194e-01,2.225452e-02,2.954066e-03,3.013686e-04,2.304179e-05,1.308292e-06,5.395899e-08,1.579421e-09,3.152993e-11,4.047727e-13,2.980298e-15,9.537866e-18
