t_ms,N_K3_0,N_K3_1e40,E_K3_0,E_K3_1e40,Fz_K3_0,Fz_K3_1e40,B_uG
99.4718370994359,1.0000000000092741,0.6028674620210865,-46.75543920740368,-29.49490103848265,-5.996890201976808,-5.997815904832893,663.9629402838889
101.28041595578738,1.0000000000094442,0.5983041285424916,-45.80198981378091,-28.718641841818222,-5.996792384924274,-5.997784247384488,653.2169802149422
103.08899481213885,1.000000000009614,0.5938148459556645,-44.88141756717003,-27.973593997797284,-5.996685060136771,-5.9977004516562875,642.8413950402198
104.89757366849032,1.0000000000097853,0.5893791974712339,-43.9608608159752,-27.238931166233147,-5.996574199036844,-5.997675263335072,632.4658098654974
106.7061525248418,1.000000000009957,0.5850011346579014,-43.04032032220478,-26.514629261781863,-5.996455565516519,-5.99760500255633,622.0902246907749
108.51473138119326,1.0000000000101281,0.5806764736023617,-42.119796853278736,-25.800425195738743,-5.996348401749598,-5.9975773035670095,611.7146395160524
110.32331023754475,1.0000000000102993,0.5764260934356806,-41.19929130212965,-25.09690700396192,-5.996250430678821,-5.997495383302116,601.3390543413301
112.1318890938962,1.0000000000104723,0.5722053381128548,-40.27880494297643,-24.402283837219535,-5.9961416995893275,-5.997436292439519,590.9634691666076
113.9404679502477,1.000000000010645,0.5680591068126296,-39.35833809235665,-23.71802468759579,-5.9959897516523135,-5.997315168913101,580.5878839918853
115.74904680659915,1.0000000000108185,0.5639545892669535,-38.43789200059901,-23.042862873992387,-5.995832725987772,-5.997274201354414,570.212298817163
117.55762566295064,1.0000000000109928,0.5599150749573899,-37.51746772614262,-22.377385933905977,-5.995715271530582,-5.997200086278826,559.8367136424405
119.3662045193021,1.0000000000111673,0.5559029422398325,-36.59706693649175,-21.720256916333792,-5.995560027809164,-5.997105114567324,549.461128467718
121.17478337565358,1.0000000000113436,0.5519726459151743,-35.67668995742616,-21.073084286959748,-5.995361785872048,-5.9969903879751545,539.0855432929956
122.98336223200505,1.0000000000115186,0.5480636402770273,-34.75633864283552,-20.433828457841305,-5.995218631525998,-5.996940225905899,528.7099581182731
124.79194108835652,1.0000000000116946,0.5442221309458541,-33.83601469822249,-19.803740072504745,-5.995023721163541,-5.99680119168308,518.3343729435508
126.600519944708,1.0000000000118707,0.5404100803785676,-33.01526938855585,-19.23543707414811,-5.994857213995227,-5.996739807251937,509.08115438070473
128.40909880105946,1.0000000000120466,0.5366702686696918,-32.207489325121045,-18.682354826788508,-5.994686186534009,-5.99664405209687,499.97383738972223
130.21767765741095,1.0000000000122236,0.5329444806918899,-31.399733086797195,-18.135719571935628,-5.994496313725397,-5.996528925135391,490.8665203987399
132.02625651376243,1.000000000012401,0.529292143798397,-30.592003064095625,-17.597045262581275,-5.99430448343329,-5.996444411791058,481.75920340775747
133.8348353701139,1.0000000000125786,0.5256637122264689,-29.784299945531515,-17.064935247719294,-5.994109994411921,-5.996322494082969,472.651886416775
135.64341422646535,1.000000000012758,0.5220966720907366,-28.97662564283705,-16.54019573784198,-5.993863519862713,-5.996190238530007,463.5445694257927
137.45199308281684,1.0000000000129377,0.5185486207318064,-28.168981453728293,-16.021712698480716,-5.993665755680819,-5.996088389795817,454.43725243481026
139.2605719391683,1.0000000000131193,0.515070353615301,-27.361369028863983,-15.51060426990156,-5.993387154757703,-5.995942184368254,445.3299354438279
141.0691507955198,1.000000000013302,0.5116092550243139,-26.55379088441928,-15.00552955459531,-5.993132460392825,-5.9958098195020835,436.22261845284544
142.87772965187125,1.0000000000134852,0.5082035782996257,-25.74624787974175,-14.50724697998446,-5.992880955116768,-5.995689214187873,427.115301461863
