power_factor,tau_s,value
0.37,0.45689655172413796,3889.3987129492143
0.37,0.5586206896551724,3301.8245365114735
0.37,0.6603448275862069,2836.848677793574
0.37,0.7620689655172413,2464.019069674241
0.37,0.8637931034482759,2171.4506280474134
0.37,0.9655172413793104,1919.302938518163
0.37,1.0672413793103448,1715.9954619230907
0.37,1.1689655172413793,1541.1038854696772
0.37,1.2706896551724138,1392.2060226450294
0.37,1.3724137931034484,1266.9990466686127
0.37,1.4741379310344827,1152.9514102273565
0.37,1.5758620689655172,1056.0098880143314
0.37,1.6775862068965517,969.6264284397312
0.37,1.7793103448275862,892.6584662158111
0.37,1.8810344827586207,820.399198087187
0.37,1.9827586206896552,760.0653028012184
0.37,2.0844827586206898,702.880897331564
0.37,2.1862068965517243,650.8162539949171
0.37,2.287931034482759,603.0189218401079
0.37,2.389655172413793,561.0186670116827
0.37,2.4913793103448274,520.3851536441589
0.37,2.593103448275862,482.70759723548736
0.37,2.6948275862068964,449.42077470984486
0.37,2.796551724137931,418.3989273723091
0.37,2.8982758620689655,387.9904533813383
0.37,3.0,360.84352800623674
0.4,0.05,9353.628818653311
0.4,0.15172413793103448,7273.542755960445
0.4,0.253448275862069,5769.47054028821
0.4,0.35517241379310344,4663.906197172159
0.4,0.45689655172413796,3849.9957927263176
0.4,0.5586206896551724,3258.2004266652602
0.4,0.6603448275862069,2793.6436344825524
0.4,0.7620689655172413,2423.0396621070377
0.4,0.8637931034482759,2132.644190822901
0.4,0.9655172413793104,1891.286059816016
0.4,1.0672413793103448,1682.9594667956458
0.4,1.1689655172413793,1516.0773790963572
0.4,1.2706896551724138,1369.0519125159822
0.4,1.3724137931034484,1241.13056583866
0.4,1.4741379310344827,1132.9756687118143
0.4,1.5758620689655172,1034.1789875525865
0.4,1.6775862068965517,949.5311417385205
0.4,1.7793103448275862,874.1735004673546
0.4,1.8810344827586207,806.0604534427971
0.4,1.9827586206896552,744.4799069121291
0.4,2.0844827586206898,688.5656539960323
0.4,2.1862068965517243,639.6432430116488
0.4,2.287931034482759,592.8410203945955
0.4,2.389655172413793,550.0284027601815
0.4,2.4913793103448274,511.96832225507796
0.4,2.593103448275862,475.1426674148079
0.4,2.6948275862068964,442.5502165108446
0.4,2.796551724137931,412.20455157667493
0.4,2.8982758620689655,382.52388579245144
0.4,3.0,355.97719294821354
0.43,0.05,9354.968434001927
0.43,0.15172413793103448,7209.816257169283
0.43,0.253448275862069,5695.226254257437
0.43,0.35517241379310344,4589.724054714082
0.43,0.45689655172413796,3809.185060489499
0.43,0.5586206896551724,3214.796970531863
0.43,0.6603448275862069,2751.2866446991457
0.43,0.7620689655172413,2383.16052383609
0.43,0.8637931034482759,2095.14033992219
0.43,0.9655172413793104,1856.5479518127036
0.43,1.0672413793103448,1657.2980096998253
0.43,1.1689655172413793,1486.6966579363666
0.43,1.2706896551724138,1342.088205974203
0.43,1.3724137931034484,1220.2846263569536
0.43,1.4741379310344827,1110.323889362779
0.43,1.5758620689655172,1016.5562218540872
0.43,1.6775862068965517,933.2717600763472
0.43,1.7793103448275862,859.1530044673996
0.43,1.8810344827586207,792.2754225709136
0.43,1.9827586206896552,731.9046115973883
0.43,2.0844827586206898,677.0664384999582
0.43,2.1862068965517243,629.0487761092263
0.43,2.287931034482759,583.2316535654254
0.43,2.389655172413793,542.875853249745
0.43,2.4913793103448274,504.03894259067647
0.43,2.593103448275862,469.4456693705479
0.43,2.6948275862068964,436.1619390413184
0.43,2.796551724137931,406.46857784095846
0.43,2.8982758620689655,378.6650394130015
0.43,3.0,352.6342497509147
0.46,0.05,9350.23241838778
0.46,0.15172413793103448,7144.305423565556
0.46,0.253448275862069,5620.404950257212
0.46,0.35517241379310344,4558.92080766548
0.46,0.45689655172413796,3767.9580309711337
