nu_Hz,N0,value
14.067796610169491,275853.1617629181,3.0724375895291898
14.067796610169491,310116.8926574775,2.7977255158058583
14.067796610169491,348636.52276780875,2.5475759339966175
14.067796610169491,391940.6774847221,2.3197926682987426
14.067796610169491,440623.6427773573,2.112375906868551
14.067796610169491,495353.52089591697,1.9235046445728747
14.067796610169491,556881.3990945267,1.7515206955651275
14.067796610169491,626051.6572014815,1.5949141353251972
14.067796610169491,703813.5554931562,1.4523100443522752
14.067796610169491,791234.2618981326,1.3224564371275396
14.067796610169491,889513.4973108236,1.2042132703695954
14.067796610169491,1.0e6,1.0965424340812402
18.135593220338983,1000.0,149.7241299113156
18.135593220338983,1124.2100350620863,136.33703090089696
18.135593220338983,1263.8482029342983,124.14689606733417
18.135593220338983,1420.8308325339224,113.04670272859872
18.135593220338983,1597.312280060254,102.93899728976594
18.135593220338983,1795.714494371641,93.73503965402908
18.135593220338983,2018.7602546790388,85.3540241334362
18.135593220338983,2269.5105366946686,77.72237001937468
18.135593220338983,2551.4065200312875,70.77307558440255
18.135593220338983,2868.3168133420118,64.44512984391683
18.135593220338983,3224.590545296395,58.68297691325154
18.135593220338983,3625.1170499885316,53.43602825755302
18.135593220338983,4075.392965871778,48.65821855225631
18.135593220338983,4581.597669054491,44.30760125486093
18.135593220338983,5150.678076168122,40.345980337348806
18.135593220338983,5790.443980602489,36.73857494605742
18.135593220338983,6509.6752304581705,33.45371404490629
18.135593220338983,7318.2422190761745,30.462558361111956
18.135593220338983,8227.241341700466,27.73884719222816
18.135593220338983,9249.147277217335,25.258667851615627
18.135593220338983,10397.984184814899,23.000245728200113
18.135593220338983,11689.518164985777,20.94375311735808
18.135593220338983,13141.473626117553,19.071135144571013
18.135593220338983,14773.776525985128,17.3659512535531
18.135593220338983,16608.827826277167,15.813230867205755
18.135593220338983,18671.810912919205,14.399341954180978
18.135593220338983,20991.037201085546,13.111871347140726
18.135593220338983,23598.33466782194,11.939515761972107
18.135593220338983,26529.484644318945,10.871982561167084
18.135593220338983,29824.71286216888,9.899899390123807
18.135593220338983,33529.2414924956,9.014731893025818
18.135593220338983,37693.909753883636,8.208708785890076
18.135593220338983,42375.87160604064,7.474753628965849
18.135593220338983,47639.380104013406,6.806422699484264
18.135593220338983,53556.669177068965,6.197848419314944
18.135593220338983,60208.94493336126,5.643687840855875
18.135593220338983,67687.50009458528,5.139075738890854
18.135593220338983,76094.96685459884,4.67958189658686
18.135593220338983,85546.72535565685,4.261172210625906
18.135593220338983,96172.48711152964,3.880173273995706
18.135593220338983,108118.07510766077,3.5332401254956736
18.135593220338983,121547.4250076286,3.217326882816548
18.135593220338983,136644.83492953243,2.9296600013682594
18.135593220338983,153617.49466718297,2.6677139240832504
18.135593220338983,172698.3290659436,2.4291889084139107
18.135593220338983,194149.19457438815,2.211990835857338
18.135593220338983,218264.47283974872,2.014212826746178
18.135593220338983,245375.11066398167,1.8341184988934949
18.135593220338983,275853.1617629181,1.6701267231117893
18.135593220338983,310116.8926574775,1.5207977417679899
18.135593220338983,348636.52276780875,1.3848205285029775
18.135593220338983,391940.6774847221,1.2610012781409259
18.135593220338983,440623.6427773573,1.1482529257361667
18.135593220338983,495353.52089591697,1.0455856027406158
18.135593220338983,556881.3990945267,0.9520979465021213
18.135593220338983,626051.6572014815,0.8669691867959222
18.135593220338983,703813.5554931562,0.7894519399133131
18.135593220338983,791234.2618981326,0.718865647043577
18.135593220338983,889513.4973108236,0.6545905993417725
18.135593220338983,1.0e6,0.5960624972257808
22.203389830508474,1000.0,92.12165992171491
22.203389830508474,1124.2100350620863,83.88489953374952
