x,z,n,fz,localF
2.37500,-1.37500,3.607945e-03,8.014342e-03,5.99995
2.62500,-1.37500,4.001327e-03,9.285680e-03,5.99999
2.87500,-1.37500,4.014712e-03,9.409152e-03,6.00000
3.12500,-1.37500,3.318377e-03,7.676699e-03,6.00000
3.37500,-1.37500,2.671443e-03,6.087660e-03,6.00000
3.62500,-1.37500,2.635683e-03,6.146406e-03,6.00000
3.87500,-1.37500,2.682423e-03,6.300574e-03,6.00000
4.12500,-1.37500,1.918895e-03,4.548650e-03,5.99998
4.37500,-1.37500,9.152286e-04,2.203373e-03,5.99978
4.62500,-1.37500,4.100021e-04,8.731324e-04,5.99986
4.87500,-1.37500,4.080623e-04,9.121587e-04,5.99996
5.12500,-1.37500,5.824180e-04,1.472975e-03,5.99995
5.37500,-1.37500,2.963828e-04,6.666265e-04,5.99992
5.62500,-1.37500,8.853017e-05,1.855046e-04,5.98782
5.87500,-1.37500,8.049413e-05,2.112083e-04,5.99839
-5.87500,-1.12500,1.361716e-04,3.443074e-04,5.99929
-5.62500,-1.12500,1.174143e-04,3.693805e-04,5.99005
-5.37500,-1.12500,4.458942e-04,1.267797e-03,5.99929
-5.12500,-1.12500,8.168373e-04,1.943350e-03,5.99999
-4.87500,-1.12500,8.264927e-04,1.951483e-03,5.99998
-4.62500,-1.12500,1.228853e-03,3.022645e-03,5.99990
-4.37500,-1.12500,1.794135e-03,4.337659e-03,5.99982
-4.12500,-1.12500,2.470531e-03,6.120981e-03,5.99997
-3.87500,-1.12500,3.259217e-03,8.157807e-03,6.00000
-3.62500,-1.12500,3.395665e-03,8.447889e-03,6.00000
-3.37500,-1.12500,3.415056e-03,8.558268e-03,5.99998
-3.12500,-1.12500,3.774257e-03,9.463771e-03,5.99999
-2.87500,-1.12500,4.385381e-03,1.104330e-02,5.99999
-2.62500,-1.12500,4.799313e-03,1.210898e-02,5.99999
-2.37500,-1.12500,4.643913e-03,1.181255e-02,5.99999
-2.12500,-1.12500,4.423225e-03,1.155124e-02,5.99995
-1.87500,-1.12500,4.358671e-03,1.124054e-02,5.99997
-1.62500,-1.12500,4.533299e-03,1.123897e-02,5.99999
-1.37500,-1.12500,5.005254e-03,1.232039e-02,6.00000
-1.12500,-1.12500,5.413224e-03,1.338547e-02,6.00000
-0.87500,-1.12500,5.924275e-03,1.495248e-02,5.99999
-0.62500,-1.12500,6.049200e-03,1.558465e-02,5.99998
-0.37500,-1.12500,5.409187e-03,1.374837e-02,5.99999
-0.12500,-1.12500,4.812283e-03,1.178660e-02,5.99998
0.12500,-1.12500,4.796846e-03,1.149482e-02,5.99998
0.37500,-1.12500,5.382384e-03,1.240772e-02,5.99999
0.62500,-1.12500,6.032368e-03,1.367713e-02,5.99998
0.87500,-1.12500,5.931788e-03,1.377769e-02,5.99999
1.12500,-1.12500,5.426007e-03,1.289001e-02,6.00000
1.37500,-1.12500,5.003702e-03,1.192215e-02,6.00000
1.62500,-1.12500,4.515521e-03,1.068329e-02,5.99999
1.87500,-1.12500,4.345538e-03,9.832190e-03,5.99997
2.12500,-1.12500,4.437813e-03,9.888452e-03,5.99995
2.37500,-1.12500,4.646928e-03,1.068135e-02,5.99999
2.62500,-1.12500,4.781947e-03,1.109974e-02,5.99999
2.87500,-1.12500,4.370001e-03,1.017462e-02,5.99999
3.12500,-1.12500,3.771704e-03,8.817272e-03,5.99999
3.37500,-1.12500,3.411098e-03,7.971414e-03,5.99998
3.62500,-1.12500,3.386131e-03,7.976262e-03,6.00000
3.87500,-1.12500,3.256575e-03,7.616759e-03,6.00000
4.12500,-1.12500,2.466116e-03,5.828763e-03,5.99997
4.37500,-1.12500,1.803283e-03,4.365304e-03,5.99982
4.62500,-1.12500,1.237663e-03,2.946659e-03,5.99990
4.87500,-1.12500,8.161103e-04,2.032276e-03,5.99997
5.12500,-1.12500,8.033425e-04,1.987011e-03,5.99999
5.37500,-1.12500,4.394455e-04,8.696259e-04,5.99925
5.62500,-1.12500,1.134688e-04,1.775099e-04,5.98829
5.87500,-1.12500,1.333663e-04,3.034096e-04,5.99928
-5.87500,-0.87500,2.373671e-04,6.191258e-04,5.99988
-5.62500,-0.87500,2.739689e-04,8.451220e-04,5.99674
-5.37500,-0.87500,6.176650e-04,1.736548e-03,5.99949
-5.12500,-0.87500,9.610260e-04,2.317612e-03,5.99999
-4.87500,-0.87500,1.022129e-03,2.369497e-03,6.00000
-4.62500,-0.87500,1.669822e-03,3.963731e-03,5.99994
-4.37500,-0.87500,2.397971e-03,5.879942e-03,5.99973
-4.12500,-0.87500,2.684264e-03,6.688584e-03,5.99989
-3.87500,-0.87500,3.069576e-03,7.584696e-03,6.00000
-3.62500,-0.87500,3.349423e-03,8.324969e-03,5.99999
-3.37500,-0.87500,3.722212e-03,9.325843e-03,5.99998
-3.12500,-0.87500,4.032974e-03,1.016219e-02,5.99999
-2.87500,-0.87500,4.535643e-03,1.137235e-02,5.99999
-2.62500,-0.87500,5.142251e-03,1.237232e-02,5.99999
-2.37500,-0.87500,5.376007e-03,1.283772e-02,5.99999
-2.12500,-0.87500,5.062430e-03,1.295229e-02,5.99997
-1.87500,-0.87500,4.704797e-03,1.248585e-02,5.99989
-1.62500,-0.87500,4.640586e-03,1.173965e-02,5.99999
-1.37500,-0.87500,5.137456e-03,1.266041e-02,6.00000
-1.12500,-0.87500,5.542699e-03,1.383457e-02,5.99999
-0.87500,-0.87500,5.956719e-03,1.495345e-02,5.99999
-0.62500,-0.87500,6.083706e-03,1.544051e-02,5.99999
-0.37500,-0.87500,5.609687e-03,1.421013e-02,5.99999
-0.12500,-0.87500,5.271759e-03,1.296664e-02,5.99999
0.12500,-0.87500,5.264774e-03,1.256620e-02,5.99999
0.37500,-0.87500,5.595736e-03,1.296059e-02,5.99999
0.62500,-0.87500,6.077703e-03,1.404340e-02,5.99999
0.87500,-0.87500,5.948951e-03,1.391022e-02,5.99999
1.12500,-0.87500,5.536492e-03,1.301710e-02,5.99999
1.37500,-0.87500,5.141639e-03,1.222642e-02,5.99999
1.62500,-0.87500,4.642441e-03,1.073707e-02,5.99999
1.87500,-0.87500,4.703733e-03,1.028628e-02,5.99990
2.12500,-0.87500,5.078307e-03,1.161038e-02,5.99997
2.37500,-0.87500,5.370950e-03,1.319807e-02,5.99999
2.62500,-0.87500,5.112757e-03,1.247561e-02,5.99999
2.87500,-0.87500,4.505122e-03,1.054590e-02,5.99999
3.12500,-0.87500,4.022787e-03,9.349650e-03,5.99999
3.37500,-0.87500,3.723326e-03,8.695794e-03,5.99997
3.62500,-0.87500,3.340878e-03,7.874789e-03,5.99999
3.87500,-0.87500,3.054157e-03,7.244033e-03,6.00000
4.12500,-0.87500,2.660861e-03,6.238466e-03,5.99989
4.37500,-0.87500,2.380722e-03,5.669591e-03,5.99973
4.62500,-0.87500,1.669773e-03,4.115653e-03,5.99994
4.87500,-0.87500,1.020670e-03,2.581407e-03,5.99999
