which,t_s,N,N0,Nth,T_nK
ramp_only,1.938800e+00,1.548479e+05,1.489702e+05,5.877666e+03,99.8798
ramp_only,1.946200e+00,1.529012e+05,1.471576e+05,5.743551e+03,96.1066
ramp_only,1.953600e+00,1.511579e+05,1.454350e+05,5.722805e+03,92.8766
ramp_only,1.961000e+00,1.495832e+05,1.438540e+05,5.729163e+03,89.6719
ramp_only,1.968400e+00,1.481619e+05,1.424264e+05,5.735500e+03,86.3244
ramp_only,1.975800e+00,1.468858e+05,1.411444e+05,5.741458e+03,82.8121
ramp_only,1.983200e+00,1.457478e+05,1.400037e+05,5.744040e+03,79.0963
ramp_only,1.990600e+00,1.447414e+05,1.389882e+05,5.753280e+03,75.1309
ramp_only,1.998000e+00,1.438612e+05,1.381006e+05,5.760597e+03,70.8508
ramp_only,2.005400e+00,1.431025e+05,1.373359e+05,5.766569e+03,66.1802
ramp_only,2.012800e+00,1.424617e+05,1.366894e+05,5.772282e+03,60.9931
ramp_only,2.020200e+00,1.419363e+05,1.361592e+05,5.777172e+03,55.1585
ramp_only,2.027600e+00,1.415218e+05,1.356492e+05,5.872619e+03,49.4891
ramp_only,2.035000e+00,1.411512e+05,1.353574e+05,5.793851e+03,49.2668
ramp_only,2.042400e+00,1.407823e+05,1.349821e+05,5.800294e+03,49.2851
ramp_only,2.049800e+00,1.404151e+05,1.346084e+05,5.806744e+03,49.3033
ramp_only,2.057200e+00,1.400496e+05,1.342364e+05,5.813202e+03,49.3216
ramp_only,2.064600e+00,1.396857e+05,1.338660e+05,5.819666e+03,49.3399
ramp_only,2.072000e+00,1.393234e+05,1.334973e+05,5.826138e+03,49.3582
ramp_only,2.079400e+00,1.389628e+05,1.331301e+05,5.832617e+03,49.3765
ramp_only,2.086800e+00,1.386037e+05,1.327646e+05,5.839103e+03,49.3948
ramp_only,2.094200e+00,1.382463e+05,1.324007e+05,5.845596e+03,49.4131
ramp_only,2.101600e+00,1.378905e+05,1.320384e+05,5.852097e+03,49.4314
ramp_only,2.109000e+00,1.375363e+05,1.316777e+05,5.858604e+03,49.4497
ramp_only,2.116400e+00,1.371837e+05,1.313185e+05,5.865120e+03,49.4680
ramp_only,2.123800e+00,1.368326e+05,1.309610e+05,5.871642e+03,49.4863
ramp_only,2.131200e+00,1.364831e+05,1.306049e+05,5.878171e+03,49.5047
ramp_only,2.138600e+00,1.361351e+05,1.302504e+05,5.884708e+03,49.5230
ramp_only,2.146000e+00,1.357887e+05,1.298975e+05,5.891252e+03,49.5414
ramp_only,2.153400e+00,1.354438e+05,1.295460e+05,5.897804e+03,49.5597
ramp_only,2.160800e+00,1.351005e+05,1.291961e+05,5.904362e+03,49.5781
ramp_only,2.168200e+00,1.347586e+05,1.288477e+05,5.910928e+03,49.5965
ramp_only,2.175600e+00,1.344182e+05,1.285007e+05,5.917502e+03,49.6148
ramp_only,2.183000e+00,1.340794e+05,1.281553e+05,5.924082e+03,49.6332
ramp_only,2.190400e+00,1.337420e+05,1.278113e+05,5.930670e+03,49.6516
ramp_only,2.197800e+00,1.334061e+05,1.274688e+05,5.937265e+03,49.6700
ramp_only,2.205200e+00,1.330717e+05,1.271278e+05,5.943868e+03,49.6884
ramp_only,2.212600e+00,1.327387e+05,1.267882e+05,5.950478e+03,49.7068
ramp_only,2.220000e+00,1.324071e+05,1.264500e+05,5.957095e+03,49.7253
unified,0.000000e+00,1.400000e+06,0.000000e+00,1.400000e+06,50000.0000
unified,7.400000e-03,1.258627e+06,0.000000e+00,1.258627e+06,40771.5629
unified,1.480000e-02,1.200141e+06,0.000000e+00,1.200141e+06,36505.7709
unified,2.220000e-02,1.167471e+06,0.000000e+00,1.167471e+06,34019.8650
unified,2.960000e-02,1.145877e+06,0.000000e+00,1.145877e+06,32354.3626
unified,3.700000e-02,1.130058e+06,0.000000e+00,1.130058e+06,31136.7767
unified,4.440000e-02,1.117654e+06,0.000000e+00,1.117654e+06,30192.9420
unified,5.180000e-02,1.107452e+06,0.000000e+00,1.107452e+06,29430.1584
unified,5.920000e-02,1.098768e+06,0.000000e+00,1.098768e+06,28794.2428
unified,6.660000e-02,1.091180e+06,0.000000e+00,1.091180e+06,28251.2245
unified,7.400000e-02,1.084418e+06,0.000000e+00,1.084418e+06,27778.6088
unified,8.140000e-02,1.078296e+06,0.000000e+00,1.078296e+06,27360.8331
unified,8.880000e-02,1.072685e+06,0.000000e+00,1.072685e+06,26986.7421
unified,9.620000e-02,1.067491e+06,0.000000e+00,1.067491e+06,26648.0997
unified,1.036000e-01,1.062645e+06,0.000000e+00,1.062645e+06,26338.6835
unified,1.110000e-01,1.058093e+06,0.000000e+00,1.058093e+06,26053.6909
unified,1.184000e-01,1.053793e+06,0.000000e+00,1.053793e+06,25789.3530
