c1_ratio,B_uG,kappa,gs_seed,E_gs,E_gap_seeds,Fz,phase,phase_distance,spin_order,nematic_order,Q6,q6_maj,T2,T4,T6,T12,E_density_c0,E_spin_c1,E_ddi,E_zeeman,E_trap
-0.015,25.0,2.2,polar,11.897534389508689,0.04913828825286792,-0.9716963229300026,ferromagnetic,unknown,0.9968419928284328,3.4370622799919727e-6,0.5237632878633338,0.5156632409261851,0.6243073800539631,0.20703110526833302,0.03539893273498318,3.574322704159312e-5,19.914428479238072,-10.719830828493556,-4.759129050821086,-0.3594209347712585,7.2207282213765875
-0.015,40.0,2.2,polar,11.615902591934729,0.015170894348928599,-1.7352320613625172,ferromagnetic,unknown,0.9969675299637385,1.4746573291127587e-6,0.5188513684261596,0.5119292672373592,0.6244354732666193,0.20704242534731737,0.03535441233402134,1.7976060867073333e-5,19.15094406730527,-10.310149477758358,-4.225182939691882,-1.0269484263642157,7.425685738886075
-0.015,48.0,2.2,polar,11.394323181043754,0.03532604917016968,-2.0111012114907743,ferromagnetic,unknown,0.996957609228706,6.104960122371048e-7,0.5200541296488539,0.5129914385830247,0.624424290230748,0.20704009912573718,0.03535631692798158,1.7871456056108197e-5,18.841148880193153,-10.143266441069066,-3.9912877038389447,-1.4282556847618557,7.519465422313271
-0.015,55.0,2.2,polar,11.17303894031338,0.00013682408906134924,-2.2638424766665497,ferromagnetic,unknown,0.9969483394708666,2.2430041623463005e-7,0.5209257335633628,0.5146940021102541,0.6244134664287868,0.2070379859455298,0.035358354215013425,1.7816307395037688e-5,18.52908529420129,-9.975172040623297,-3.757678110710071,-1.8422116880594008,7.618549695270349
-0.015,62.0,2.2,stretched,10.88892575755216,0.0354415930086347,-2.883488918829242,ferromagnetic,unknown,0.9971072585165501,8.509728928239321e-8,0.4777124026582384,0.4716495027667994,0.6245251435598678,0.20708006429093423,0.035359748188069196,5.5645903563260274e-6,17.69374820868461,-9.526984975392342,-3.121303573188429,-2.6450899850407392,7.897225749325622
-0.015,75.0,2.2,polar,10.253245351380828,0.040755004288506314,-3.795616862107954,ferromagnetic,unknown,0.9974516058394279,2.6480401944548983e-9,0.5740366563407786,0.5784469063982605,0.6248611798347584,0.20720454011369216,0.03521421144985884,1.2469292604084146e-6,16.406510842834532,-8.83693831666066,-2.064391061193617,-4.211859738667837,8.397519523944053
-0.015,100.0,2.2,stretched,8.504646331449655,2.913100871637653e-10,-5.6139073244484905,ferromagnetic,unknown,0.9996532307727652,7.812586858979372e-15,0.5214031559929021,0.5578563424435409,0.6280382348135563,0.20785357793412046,0.03425590926659114,2.3019015248935433e-7,13.831053346846865,-7.466178868110006,0.445142894580343,-8.306064375416483,9.701283392290467
0.0,0.0,1.0,polar,8.883579698979766,6.991626699814901e-6,-4.8113132732427065e-8,ferromagnetic,unknown,0.9736528474402116,0.0029968321131373945,0.6519255036175298,0.629966712038477,0.5957564464438743,0.20108038515268542,0.04365731437822643,0.0006051048888707212,6.71723057026771,0.0,-3.533316086994703,-1.8174473968733242e-6,5.237878247160263
0.0,25.0,1.0,stretched,8.26713256420408,0.0074028479331307295,-3.769085679847812,ferromagnetic,unknown,0.9768793517821486,0.000225943466884495,0.4161503411878607,0.413366795781275,0.6006717060438508,0.20205115166134935,0.041586539798658145,0.000500863867740564,5.970164757929898,0.0,-2.524388283281608,-1.3941474746798308,5.849688961800702
0.0,40.0,1.0,stretched,7.112393341530113,3.608668919241609e-12,-5.928097615473354,ferromagnetic,unknown,0.9998511261969586,6.363342932037368e-15,0.5315795597537821,0.5277870210880641,0.6283422799229723,0.20792734900701407,0.03414202583173989,2.0765851917225105e-7,5.440999454764926,0.0,-1.5288292280732718,-3.508371505344543,6.555416435953715
