c1_ratio,B_uG,kappa,gs_seed,E_gs,sigma0,sigma2,sigma4,sigma6,sigma8,sigma10,sigma12,mF,coh,fluxclosure,abschir,absLz,absFz,Jz,spin_mod,kspin,dens_mod,kdens
-0.015,40.0,1.9,polar,10.863252363810647,1.0116012434801925e-15,5.322683114187913e-13,2.9871553666821355e-10,8.183622623381781e-8,1.8050264776353303e-5,0.0037092284333744216,0.9962726391663762,0.9988037977430554,0.18058767418998548,0.15589719440278735,0.023286833450281926,0.05580222551467712,1.9434285939306097,-1.9992308194452868,0.02002163505912756,1.0471975511965976,0.03784625096326014,1.0471975511965976
-0.015,40.0,2.2,polar,11.615902591934729,8.102048472032364e-16,3.0023035530968894e-13,1.9680487701240187e-10,6.031048225391575e-8,1.4803728012078807e-5,0.003367710957016848,0.9966174248073851,0.9989149313172726,0.17859646991973258,0.15290848202178084,0.024820371333985392,0.2627073852111833,1.7352320613625172,-1.9979394465737004,0.021798310497039477,1.1708024551734542,0.0513989418644201,1.0471975511965976
0.0,40.0,1.0,stretched,7.112393341530113,2.432656652118974e-21,1.0407037833480817e-20,1.0047417278186756e-20,1.1822011924169513e-20,5.755654903039232e-14,2.2129168981793465e-10,0.9999999997786447,0.9999999999292758,0.9384103174904841,0.3354540917851608,3.071441855447902e-5,0.07138537523592123,5.928097615473357,-5.999482990709278,0.03874105561093292,0.9068996821171088,0.004793004172573129,1.0471975511965976
0.0,40.0,1.3,polar,8.852778146636217,4.5150385451702476e-15,1.2844649981250746e-11,1.0392415641296342e-8,2.7915977306085603e-6,0.00022094569801454447,0.013312160750615476,0.9864640915483691,0.9956067490438603,0.4177984220239611,0.2128249990429369,0.05322093726431793,0.2671196983340224,3.7901605241452887,-4.057280222479311,0.025375343952353514,1.1708024551734542,0.0037408209154970356,1.0471975511965976
0.0,40.0,1.6,stretched,9.940554174603104,8.144828445536605e-12,5.897505982128819e-9,1.853371546051925e-6,5.106487639014011e-5,0.0011890424190552204,0.027888855948475053,0.970869177478886,0.9903083044270321,0.20169464498539955,0.1527881387340295,0.03641725779533282,0.16710546683256833,2.3314469685131303,-2.164341501680562,0.02432536706341663,1.0471975511965976,0.021813235111078914,1.0471975511965976
0.0,40.0,1.9,stretched,10.794098502242415,5.3024052895892716e-12,3.90716654755167e-9,1.294939889944184e-6,4.0493363793354944e-5,0.0010456585243246853,0.02677045810020707,0.9721420911593182,0.9907624075340186,0.20265374584447554,0.15146317151499897,0.03909015643430447,0.06933370637616616,1.9628114902090057,-2.032145196585172,0.019834509849584334,1.0471975511965976,0.03744062250674959,1.0471975511965976
0.0,40.0,2.2,stretched,11.563536456410919,9.502209448550751e-11,3.504206781060466e-8,1.0076997165780722e-6,2.7985240171704367e-5,0.0007749662540894982,0.022825458930317375,0.976370546738617,0.9922029298498368,0.18989616847094462,0.1268612707220362,0.00959463362633625,0.4212465547088119,1.4295168439467891,-1.0082702892379771,0.021850271605868218,1.1708024551734542,0.05241677503950915,1.0471975511965976
0.0277777778,40.0,1.0,polar,7.075877156315484,0.005663240975556091,0.017788289595298087,0.010598466946169508,0.0025169725997196326,0.000395337909873646,0.0006862999439126149,0.9623513920294654,0.9621675934346694,0.921015492640133,0.33002598421281104,4.369128539877363e-5,0.0622911401149817,5.316185057890205,-5.3784761980051865,0.038117045907687344,0.9068996821171088,0.004247466696803289,1.0471975511965976
0.0277777778,40.0,1.3,polar,8.618623838607927,2.3571632410673147e-5,1.5449014689245833e-5,0.050029588735147186,0.03942803628096911,0.11618693106099517,0.4187756348953377,0.37554078838045524,0.6632391458970835,0.6396569015619485,0.26336541399304864,0.07957027472709063,0.08345197492050858,3.452989824193192,-3.5364417991137005,0.02483196235284559,1.0471975511965976,0.005563653555392843,1.0471975511965976
0.0277777778,40.0,1.6,stretched,9.682836796511106,0.000272425255802125,0.00019350645598778204,0.07284181144430506,0.07454946399453964,0.10397394415251432,0.28692066176169767,0.4612481869351559,0.6623945271391877,0.4836008700959935,0.20067941761972427,0.08531630515916504,0.0962414860534365,2.579578869902519,-2.6758203559559557,0.02218161609609356,1.0471975511965976,0.019949427866261207,1.0471975511965976
