N0,T,cf
6.26620e+04,50.222,0.8935
1.01663e+05,53.640,0.9574
2.21375e+05,55.928,0.9749
2.19318e+05,46.254,0.9736
3.10689e+05,48.940,0.9850
2.27397e+04,53.676,0.8151
2.81246e+05,47.518,0.9771
2.28741e+04,66.879,0.8629
9.66519e+04,53.911,0.9509
8.02512e+04,53.655,0.9431
5.45811e+04,66.285,0.9276
2.03941e+05,40.284,0.9535
2.85690e+05,42.787,0.9723
2.25913e+04,46.901,0.7379
1.15214e+05,50.720,0.9502
3.05754e+05,58.934,0.9861
3.03622e+04,50.307,0.8570
1.90030e+05,47.454,0.9725
1.84737e+05,42.052,0.9643
2.50773e+05,43.841,0.9720
5.18859e+04,54.631,0.8625
1.07643e+05,54.044,0.9436
5.34696e+04,47.807,0.8922
1.03310e+05,54.723,0.9216
2.59483e+04,48.979,0.8140
8.59402e+04,43.864,0.8794
9.16004e+04,55.392,0.9214
3.78960e+05,49.604,0.9853
1.75824e+05,53.326,0.9721
2.84468e+05,58.993,0.9819
1.66040e+05,51.472,0.9586
1.42623e+05,47.468,0.9580
2.63219e+04,51.412,0.7732
1.32124e+05,51.647,0.9535
1.10547e+05,58.744,0.9551
1.76636e+05,56.339,0.9587
1.38281e+05,38.214,0.9234
1.60295e+05,56.884,0.9634
2.44750e+04,53.380,0.7698
2.87978e+04,40.581,0.7967
2.82442e+04,47.574,0.7949
4.18788e+04,67.843,0.9058
3.90035e+04,47.158,0.8635
2.05496e+05,43.825,0.9742
3.21689e+04,49.617,0.8333
1.80732e+05,46.303,0.9568
4.00714e+04,49.084,0.8934
2.31214e+05,55.080,0.9797
1.78147e+04,55.836,0.7509
1.73130e+05,43.410,0.9582
4.18398e+04,49.046,0.8947
1.07065e+05,47.655,0.9545
8.78713e+04,51.018,0.9316
1.50032e+05,48.654,0.9442
6.13025e+04,53.906,0.9284
5.03650e+04,49.186,0.8903
8.78783e+04,44.798,0.9385
1.25022e+05,53.671,0.9561
2.29333e+05,40.734,0.9717
6.86492e+04,46.002,0.9107
6.09629e+04,54.963,0.9108
1.50219e+05,46.083,0.9531
9.69927e+04,50.234,0.9033
1.43050e+05,41.847,0.9620
1.11113e+05,39.865,0.9372
3.09848e+04,61.744,0.8485
2.16808e+05,50.455,0.9777
1.88709e+05,43.249,0.9627
2.09672e+05,49.239,0.9658
2.17363e+05,52.102,0.9757
3.90829e+04,55.726,0.8952
1.57184e+05,50.335,0.9629
9.96536e+04,46.710,0.9544
1.30457e+05,55.360,0.9600
1.26781e+05,53.897,0.9445
2.41294e+05,50.410,0.9755
2.89596e+05,56.550,0.9747
1.06470e+05,49.815,0.9582
9.71383e+04,53.924,0.9348
3.45648e+05,53.162,0.9849
1.10274e+05,46.602,0.9381
2.62263e+05,42.846,0.9767
3.62584e+04,50.440,0.8377
2.34411e+04,44.429,0.7742
1.72020e+05,52.993,0.9738
1.70181e+05,61.977,0.9637
8.53783e+04,46.169,0.9397
7.18120e+04,41.127,0.9194
1.46193e+05,64.766,0.9682
1.04292e+05,47.553,0.9410
1.59703e+04,49.620,0.6785
2.28674e+05,52.319,0.9705
2.75641e+04,50.572,0.8173
6.36196e+04,58.457,0.9387
4.08844e+04,48.914,0.8551
2.04963e+04,47.122,0.8101
8.60092e+04,59.409,0.9418
4.09287e+04,57.619,0.9097
7.12151e+04,49.445,0.8899
8.92008e+04,53.234,0.9310
2.46048e+05,48.107,0.9740
3.01979e+05,64.427,0.9847
6.95355e+04,49.355,0.9343
1.94640e+04,38.628,0.6763
1.33937e+05,45.202,0.9487
1.03084e+05,54.612,0.9437
1.19074e+05,56.280,0.9512
4.94363e+04,46.453,0.9190
1.50732e+05,54.769,0.9703
2.09932e+05,57.266,0.9740
1.32245e+05,53.017,0.9666
1.60423e+04,49.932,0.7021
1.65532e+05,43.492,0.9654
2.60712e+05,53.299,0.9759
1.80423e+05,47.606,0.9401
1.86559e+05,42.769,0.9520
1.62784e+05,49.615,0.9317
4.36175e+04,47.140,0.8230
3.33336e+04,37.464,0.7880
1.71480e+05,51.087,0.9587
2.97961e+05,45.573,0.9703
2.62653e+05,51.395,0.9752
3.12614e+05,54.947,0.9844
7.02434e+04,59.281,0.8940
1.04776e+05,42.475,0.9320
1.31264e+05,50.496,0.9621
2.82216e+04,49.580,0.8368
3.84614e+04,48.516,0.8392
5.29698e+04,51.030,0.8730
3.97799e+04,49.439,0.8865
6.46563e+04,52.140,0.9233
2.19508e+05,44.386,0.9721
3.03479e+05,61.632,0.9888
7.65915e+04,52.659,0.9306
2.10773e+05,53.060,0.9705
2.52124e+05,46.224,0.9742
1.44030e+05,74.233,0.9719
3.21730e+04,46.981,0.8034
1.29063e+05,48.424,0.9606
1.92286e+05,38.357,0.9523
2.40539e+04,60.745,0.8235
1.04644e+05,50.674,0.9374
4.66838e+04,54.888,0.9036
2.69342e+05,47.486,0.9740
2.15904e+05,41.975,0.9694
1.86499e+05,49.655,0.9453
5.96057e+04,47.890,0.8944
2.16620e+05,45.383,0.9728
1.02609e+05,47.960,0.9543
3.42360e+05,52.439,0.9883
2.36028e+04,45.542,0.6783
2.13657e+05,55.223,0.9773
5.05699e+04,40.223,0.8524
2.09361e+05,66.667,0.9803
5.76892e+04,43.256,0.8856
1.74289e+05,56.982,0.9745
9.73414e+04,43.536,0.9224
2.02157e+04,43.744,0.7136
2.10450e+05,45.249,0.9688
1.38436e+05,44.093,0.9556
1.38058e+05,50.092,0.9671
2.19657e+05,47.061,0.9735
2.35595e+05,49.936,0.9764
2.42535e+04,52.433,0.7076
1.32645e+05,59.182,0.9511
2.03018e+04,55.650,0.7792
1.78803e+05,45.062,0.9499
2.02447e+05,64.725,0.9764
5.28569e+04,43.370,0.8795
1.74897e+05,43.665,0.9615
2.42809e+05,47.001,0.9741
3.89617e+04,66.792,0.8981
7.62633e+04,55.750,0.9348
1.37147e+05,49.580,0.9548
1.19317e+05,54.793,0.9562
2.44807e+05,45.890,0.9702
1.07731e+05,54.506,0.9478
2.28556e+04,52.941,0.8452
7.83519e+04,44.670,0.9195
7.35386e+04,52.377,0.9029
5.39997e+04,50.286,0.8826
7.65601e+04,54.908,0.9241
1.09366e+05,49.415,0.9455
7.09744e+04,52.283,0.9274
1.85242e+05,46.418,0.9620
1.90547e+05,48.173,0.9667
1.35419e+05,44.944,0.9511
3.14759e+04,44.220,0.8295
2.02238e+05,42.171,0.9557
2.09972e+04,55.625,0.7675
3.99576e+04,58.132,0.8943
1.82022e+05,55.257,0.9736
9.42100e+04,49.362,0.9072
5.07391e+04,60.478,0.9169
3.35979e+05,50.790,0.9847
5.10570e+04,40.534,0.8754
1.90427e+05,38.221,0.9546
4.15529e+04,44.818,0.8823
3.35592e+04,56.916,0.8613
3.26776e+04,51.535,0.8277
3.05447e+04,52.019,0.8191
2.57853e+04,46.961,0.7496
3.36843e+04,56.089,0.8818
2.02536e+05,47.650,0.9695
6.48286e+04,52.537,0.9026
1.30109e+05,39.977,0.9454
1.06010e+05,46.391,0.9276
7.81250e+04,44.289,0.9078
2.31128e+05,56.321,0.9714
3.03919e+05,58.046,0.9865
3.04055e+05,59.728,0.9832
8.38345e+04,58.121,0.9451
3.51702e+04,51.714,0.8602
3.09117e+05,53.106,0.9831
7.48250e+04,39.810,0.8913
3.24210e+04,50.057,0.8210
8.08982e+04,44.484,0.9290
2.79228e+04,47.839,0.8354
1.09381e+05,46.294,0.9158
2.10444e+04,63.977,0.8376
8.84211e+04,39.352,0.9180
2.56936e+05,45.177,0.9760
2.18309e+05,45.266,0.9716
2.94438e+05,57.709,0.9864
6.68875e+04,44.878,0.8943
2.86491e+05,49.479,0.9825
4.96536e+04,59.694,0.9243
1.55175e+05,40.688,0.9370
9.12904e+04,41.234,0.8901
1.81888e+05,63.690,0.9779
1.20588e+05,43.085,0.9446
1.32224e+05,44.204,0.9606
3.46439e+05,50.142,0.9810
2.44655e+05,66.588,0.9835
2.57427e+05,71.365,0.9887
5.98657e+04,50.885,0.9002
7.37087e+04,58.359,0.9329
1.33843e+05,60.600,0.9476
1.93883e+05,49.331,0.9658
9.82760e+04,45.968,0.9314
8.18072e+04,41.637,0.8893
1.94172e+05,44.269,0.9638
5.18421e+04,51.088,0.9013
1.97604e+04,55.531,0.7468
4.60635e+04,44.233,0.8714
2.00679e+05,53.818,0.9727
3.18317e+04,54.188,0.8732
3.40532e+04,57.416,0.8749
2.68648e+05,41.076,0.9689
9.59554e+04,42.730,0.9218
6.47085e+04,51.866,0.9345
3.67026e+05,44.600,0.9828
7.74861e+04,51.777,0.9433
1.02828e+05,50.483,0.9381
8.56350e+04,43.752,0.8978
9.47834e+04,57.394,0.9511
3.93623e+05,55.756,0.9881
3.55586e+04,54.630,0.8835
1.98544e+05,42.189,0.9631
2.97545e+04,59.494,0.8244
8.95539e+04,53.368,0.9036
1.56769e+05,47.287,0.9438
2.08329e+05,44.381,0.9682
1.76176e+05,50.962,0.9682
2.61101e+05,39.488,0.9643
2.89749e+05,57.746,0.9831
1.67461e+05,72.554,0.9720
7.59370e+04,59.094,0.9307
3.29699e+04,49.072,0.8140
2.88334e+05,42.908,0.9741
1.14160e+05,52.881,0.9412
7.60806e+04,49.017,0.9453
