Omega,frame,t,norm,Fz,Lz,peak,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
-0.5000,80,7.940000e+00,9.968063e-01,1.669545e+00,,NaN,3.716964e-02,9.251320e-02,1.416002e-01,1.558206e-01,1.416712e-01,1.239271e-01,1.030076e-01,7.593138e-02,5.499626e-02,4.007606e-02,2.280263e-02,8.446441e-03,2.037853e-03
-0.5000,81,8.040000e+00,9.967545e-01,1.622781e+00,,1.422637e-02,3.501562e-02,8.991501e-02,1.405780e-01,1.561744e-01,1.417626e-01,1.233809e-01,1.031366e-01,7.688179e-02,5.613849e-02,4.147922e-02,2.416286e-02,9.149166e-03,2.225259e-03
-0.5000,82,8.140000e+00,9.967036e-01,1.577526e+00,,NaN,3.301456e-02,8.744123e-02,1.395112e-01,1.564921e-01,1.419757e-01,1.229264e-01,1.030881e-01,7.760665e-02,5.717704e-02,4.285721e-02,2.556491e-02,9.912221e-03,2.432722e-03
-0.5000,83,8.240000e+00,9.966544e-01,1.533694e+00,,NaN,3.120042e-02,8.509013e-02,1.383756e-01,1.566877e-01,1.422373e-01,1.226156e-01,1.029727e-01,7.815727e-02,5.810594e-02,4.418496e-02,2.698078e-02,1.073030e-02,2.661281e-03
-0.5000,84,8.340000e+00,9.966076e-01,1.491119e+00,,NaN,2.958535e-02,8.286127e-02,1.371565e-01,1.566975e-01,1.424703e-01,1.224712e-01,1.028958e-01,7.860155e-02,5.893212e-02,4.544215e-02,2.838038e-02,1.159437e-02,2.911524e-03
-0.5000,85,8.440000e+00,9.965635e-01,1.449659e+00,,NaN,2.816359e-02,8.075420e-02,1.358533e-01,1.564918e-01,1.426147e-01,1.224892e-01,1.029329e-01,7.900271e-02,5.966776e-02,4.661575e-02,2.973764e-02,1.249299e-02,3.183474e-03
-0.5000,86,8.540000e+00,9.965223e-01,1.409269e+00,,NaN,2.691835e-02,7.876836e-02,1.344795e-01,1.560732e-01,1.426377e-01,1.226465e-01,1.031195e-01,7.940633e-02,6.032607e-02,4.769989e-02,3.103377e-02,1.341429e-02,3.476606e-03
-0.5000,87,8.640000e+00,9.964840e-01,1.370016e+00,,NaN,2.582801e-02,7.690354e-02,1.330597e-01,1.554688e-01,1.425328e-01,1.229087e-01,1.034542e-01,7.983852e-02,6.092054e-02,4.869190e-02,3.225584e-02,1.434734e-02,3.790046e-03
-0.5000,88,8.740000e+00,9.964483e-01,1.332074e+00,,NaN,2.487057e-02,7.516037e-02,1.316252e-01,1.547215e-01,1.423131e-01,1.232370e-01,1.039098e-01,8.030916e-02,6.146469e-02,4.958918e-02,3.339386e-02,1.528270e-02,4.122823e-03
-0.5000,89,8.840000e+00,9.964148e-01,1.295695e+00,,NaN,2.402711e-02,7.354083e-02,1.302097e-01,1.538808e-01,1.420001e-01,1.235952e-01,1.044456e-01,8.081482e-02,6.197083e-02,5.038971e-02,3.443952e-02,1.621193e-02,4.473862e-03
-0.5000,90,8.940000e+00,9.963831e-01,1.261162e+00,,NaN,2.328335e-02,7.204841e-02,1.288465e-01,1.529945e-01,1.416142e-01,1.239534e-01,1.050195e-01,8.134177e-02,6.244932e-02,5.109384e-02,3.538647e-02,1.712700e-02,4.841826e-03
-0.5000,91,9.040000e+00,9.963528e-01,1.228752e+00,,1.010199e-02,2.262967e-02,7.068762e-02,1.275658e-01,1.521051e-01,1.411692e-01,1.242892e-01,1.055953e-01,8.187044e-02,6.290839e-02,5.170370e-02,3.623002e-02,1.802045e-02,5.225194e-03
-0.5000,92,9.140000e+00,9.963234e-01,1.198732e+00,,NaN,2.206026e-02,6.946229e-02,1.263939e-01,1.512516e-01,1.406740e-01,1.245840e-01,1.061446e-01,8.237905e-02,6.335422e-02,5.222176e-02,3.696614e-02,1.888568e-02,5.622441e-03
-0.5000,93,9.240000e+00,9.962943e-01,1.171359e+00,,NaN,2.157166e-02,6.837410e-02,1.253528e-01,1.504741e-01,1.401380e-01,1.248209e-01,1.066434e-01,8.284441e-02,6.379085e-02,5.265032e-02,3.759100e-02,1.971658e-02,6.031911e-03
-0.5000,94,9.340000e+00,9.962653e-01,1.146883e+00,,NaN,2.116154e-02,6.742214e-02,1.244579e-01,1.498145e-01,1.395766e-01,1.249832e-01,1.070705e-01,8.324165e-02,6.421966e-02,5.299251e-02,3.810104e-02,2.050714e-02,6.451722e-03
-0.5000,95,9.440000e+00,9.962359e-01,1.125530e+00,,NaN,2.082780e-02,6.660430e-02,1.237184e-01,1.493134e-01,1.390118e-01,1.250535e-01,1.074076e-01,8.354547e-02,6.463876e-02,5.325358e-02,3.849364e-02,2.125179e-02,6.879903e-03
