K3_m6_s,timing_strength,decompress_factor,N0_final
1.3870919878509274e-42,0.36363636363636365,0.18181818181818182,61775.23357643931
1.3870919878509274e-42,0.36363636363636365,0.2636363636363636,61332.94911717355
1.3870919878509274e-42,0.36363636363636365,0.34545454545454546,60882.83593222815
1.3870919878509274e-42,0.36363636363636365,0.42727272727272725,60427.895697618624
1.3870919878509274e-42,0.36363636363636365,0.509090909090909,59972.20705219048
1.3870919878509274e-42,0.36363636363636365,0.5909090909090909,59512.34991346246
1.3870919878509274e-42,0.36363636363636365,0.6727272727272727,59053.745027611156
1.3870919878509274e-42,0.36363636363636365,0.7545454545454545,58594.9393808293
1.3870919878509274e-42,0.36363636363636365,0.8363636363636363,58140.89388532646
1.3870919878509274e-42,0.36363636363636365,0.9181818181818182,57698.96568229824
1.3870919878509274e-42,0.36363636363636365,1.0,57375.362098115824
1.3870919878509274e-42,0.45454545454545453,0.1,62467.64765106884
1.3870919878509274e-42,0.45454545454545453,0.18181818181818182,62029.013533390294
1.3870919878509274e-42,0.45454545454545453,0.2636363636363636,61566.00484416867
1.3870919878509274e-42,0.45454545454545453,0.34545454545454546,61100.816050973604
1.3870919878509274e-42,0.45454545454545453,0.42727272727272725,60630.73002588366
1.3870919878509274e-42,0.45454545454545453,0.509090909090909,60158.07002089188
1.3870919878509274e-42,0.45454545454545453,0.5909090909090909,59684.464968700726
1.3870919878509274e-42,0.45454545454545453,0.6727272727272727,59216.83399502553
1.3870919878509274e-42,0.45454545454545453,0.7545454545454545,58762.05330333871
1.3870919878509274e-42,0.45454545454545453,0.8363636363636363,58328.11805423514
1.3870919878509274e-42,0.45454545454545453,0.9181818181818182,57981.970987555906
1.3870919878509274e-42,0.45454545454545453,1.0,57730.962989929234
1.3870919878509274e-42,0.5454545454545454,0.1,63341.508266875826
1.3870919878509274e-42,0.5454545454545454,0.18181818181818182,62872.449918800914
1.3870919878509274e-42,0.5454545454545454,0.2636363636363636,62396.4266522622
1.3870919878509274e-42,0.5454545454545454,0.34545454545454546,61911.72788308645
1.3870919878509274e-42,0.5454545454545454,0.42727272727272725,61423.01552278829
1.3870919878509274e-42,0.5454545454545454,0.509090909090909,60944.1462359453
1.3870919878509274e-42,0.5454545454545454,0.5909090909090909,60466.13250077659
1.3870919878509274e-42,0.5454545454545454,0.6727272727272727,60010.66002547178
1.3870919878509274e-42,0.5454545454545454,0.7545454545454545,59579.09671660937
1.3870919878509274e-42,0.5454545454545454,0.8363636363636363,59205.31178163702
1.3870919878509274e-42,0.5454545454545454,0.9181818181818182,58978.30453891118
1.3870919878509274e-42,0.5454545454545454,1.0,58676.8316777761
1.3870919878509274e-42,0.6363636363636364,0.1,64704.20928350549
1.3870919878509274e-42,0.6363636363636364,0.18181818181818182,64228.12669912126
1.3870919878509274e-42,0.6363636363636364,0.2636363636363636,63730.28825225901
1.3870919878509274e-42,0.6363636363636364,0.34545454545454546,63224.553144900936
1.3870919878509274e-42,0.6363636363636364,0.42727272727272725,62732.8764471596
1.3870919878509274e-42,0.6363636363636364,0.509090909090909,62240.62839479911
1.3870919878509274e-42,0.6363636363636364,0.5909090909090909,61765.781081441426
1.3870919878509274e-42,0.6363636363636364,0.6727272727272727,61321.01713670662
1.3870919878509274e-42,0.6363636363636364,0.7545454545454545,60915.08360524427
1.3870919878509274e-42,0.6363636363636364,0.8363636363636363,60586.07492928739
1.3870919878509274e-42,0.6363636363636364,0.9181818181818182,60329.48917437941
1.3870919878509274e-42,0.6363636363636364,1.0,59985.34813435695
1.3870919878509274e-42,0.7272727272727273,0.1,66520.03620063496
1.3870919878509274e-42,0.7272727272727273,0.18181818181818182,66022.40853766802
1.3870919878509274e-42,0.7272727272727273,0.2636363636363636,65500.96684080745
1.3870919878509274e-42,0.7272727272727273,0.34545454545454546,64995.9494023844
1.3870919878509274e-42,0.7272727272727273,0.42727272727272725,64485.37473754034
1.3870919878509274e-42,0.7272727272727273,0.509090909090909,63993.08432617211
1.3870919878509274e-42,0.7272727272727273,0.5909090909090909,63517.5239018023
