t_s,nu_Hz,T_K,T_ideal_K,T_over_Tc,cond_frac
0.13586666666650915,86.50829113076166,8.48485574688231e-8,9.441596678719328e-8,0.8247547794836403,0.43791310238265935
0.1375999999998423,85.52777278663169,8.388095853745858e-8,9.334581979661551e-8,0.8250404270179789,0.43719752213244445
0.13933333333317544,84.53588233004237,8.291331589213856e-8,9.2263261174988e-8,0.8254257042718381,0.4365015127125457
0.14106666666650858,83.53221465276641,8.194360669220515e-8,9.116784878336154e-8,0.8258985060981279,0.43586644890970033
0.14279999999984172,82.51634000773981,8.095308076167037e-8,9.005911359172766e-8,0.8262759368483018,0.43568527670741825
0.14453333333317486,81.48780185862175,7.993712099255835e-8,8.893655733200794e-8,0.8265116439576924,0.4347543609881942
0.146266666666508,80.44611448185098,7.889628588468902e-8,8.779964988091562e-8,0.8266101552746719,0.4339260394438465
0.14799999999984115,79.39076028546489,7.784556539483566e-8,8.664782633368937e-8,0.8267314436789521,0.43332566759302976
0.1497333333331743,78.32118680268594,7.679480580479364e-8,8.548048372286521e-8,0.8269889221647039,0.43274380211676355
0.15146666666650743,77.23680331071645,7.57440084865005e-8,8.429697732799707e-8,0.8273953273344108,0.43218001749141216
0.15319999999984057,76.13697701600306,7.468127029848879e-8,8.309661651221836e-8,0.8278328515515201,0.43190546307341293
0.15493333333317372,75.02102873603143,7.358536744449221e-8,8.1878660009312e-8,0.828072709646809,0.4319172804258306
0.15666666666650686,73.88822799397431,7.245632116624084e-8,8.064231056996283e-8,0.8281134162587551,0.43070071764734996
0.15839999999984,72.73778742556446,7.129988463104336e-8,7.938670885736586e-8,0.82802150034179,0.4301341418309823
0.16013333333317314,71.56885637652513,7.014021614286936e-8,7.811092645940132e-8,0.8280862534451137,0.4296605957543356
0.1618666666665063,70.38051354260465,6.898051326449105e-8,7.6813957855899e-8,0.8283654041399175,0.42920427210134526
0.16359999999983943,69.17175847119859,6.781903058343853e-8,7.54947111434282e-8,0.8288615379095917,0.4288088659623271
0.16533333333317257,67.94150170164706,6.662200234796305e-8,7.415199727432491e-8,0.8291806426058641,0.4293438898144571
0.16706666666650571,66.68855326779841,6.537832134153216e-8,7.278451750828138e-8,0.8291874515844627,0.42857069061662895
0.16879999999983886,65.41160921754687,6.408891643117186e-8,7.139084869964181e-8,0.8288910064705669,0.4276076954917494
0.170533333333172,64.10923571456875,6.277747002311676e-8,6.99694259458871e-8,0.8286047890375724,0.4272394228864662
0.17226666666650514,62.779850170123964,6.146598883281873e-8,6.851852199470451e-8,0.8286473440154004,0.42688794969356575
0.17399999999983828,61.42169869728686,6.015447363686587e-8,6.703622263732226e-8,0.8290645026377704,0.4265528389731576
0.17573333333317143,60.03282897163322,5.882352314343636e-8,6.552039708840649e-8,0.8296364458535774,0.4268008997102844
