nu_Hz,N0,value
13.277310924369749,1.9684194472866112e6,0.7328407617409223
13.277310924369749,2.126821747296208e6,0.6888407979672962
13.277310924369749,2.2979709690469606e6,0.6474826042931953
13.277310924369749,2.48289288056033e6,0.6086075681048754
13.277310924369749,2.6826957952797273e6,0.5720665999341721
13.277310924369749,2.898577214651068e6,0.5377195616861774
13.277310924369749,3.131831005243845e6,0.5054347291962971
13.277310924369749,3.383855153428233e6,0.47508828705552614
13.277310924369749,3.6561601440851935e6,0.4465638537665556
13.277310924369749,3.9503780135666407e6,0.4197520354096428
13.277310924369749,4.268272131163825e6,0.39455000610650237
13.277310924369749,4.611747767708261e6,0.3708611136732683
13.277310924369749,4.982863514647306e6,0.348594508950155
13.277310924369749,5.383843622033489e6,0.32766479738627474
13.277310924369749,5.817091329374358e6,0.30799171154339755
13.277310924369749,6.285203269240097e6,0.28949980326267705
13.277310924369749,6.790985029955707e6,0.27211815431377095
13.277310924369749,7.337467970651373e6,0.25578010441667104
13.277310924369749,7.927927389450606e6,0.24042299559317634
13.277310924369749,8.565902153685499e6,0.2259879318675777
13.277310924369749,9.255215909791354e6,0.21241955339497676
13.277310924369749,1.0e7,0.19966582415100628
16.554621848739497,1000.0,186.36390461298714
16.554621848739497,1080.4718223181285,175.1745637905646
16.554621848739497,1167.4193588234587,164.6570341125818
16.554621848739497,1261.3637220374437,154.77097985051338
16.554621848739497,1362.867959355774,145.47848704422674
16.554621848739497,1472.5404276241222,136.74391809833224
16.554621848739497,1591.0384392721533,128.5337751086094
16.554621848739497,1719.0722018585745,120.81657139435217
16.554621848739497,1857.4090746385718,113.56271074394725
16.554621848739497,2006.8781676649664,106.74437391058358
16.554621848739497,2168.375310987435,100.3354119227888
16.554621848739497,2342.8684237322327,94.31124580063295
16.554621848739497,2531.403315241567,88.64877229299746
16.554621848739497,2735.109953041208,83.32627527440603
16.554621848739497,2955.209235202888,78.32334246161412
16.554621848739497,3193.020307691027,73.62078713055753
16.554621848739497,3449.9684705497157,69.2005745334374
16.554621848739497,3727.593720314942,65.04575273374361
16.554621848739497,4027.5599798502976,61.14038759396341
16.554621848739497,4351.665070924416,57.46950166664531
16.554621848739497,4701.851489299852,54.01901675446096
16.554621848739497,5080.218046913023,50.775699918977026
16.554621848739497,5489.032450921557,47.72711273107533
16.554621848739497,5930.744895010559,44.861563568391766
16.554621848739497,6408.002744415996,42.1680627768306
16.554621848739497,6923.6664026787275,39.63628052419373
16.554621848739497,7480.826455225086,37.25650718428998
16.554621848739497,8082.822192522714,35.01961609959331
16.554621848739497,8733.261623828437,32.91702857964153
16.554621848739497,9436.04310147889,30.94068100094111
16.554621848739497,10195.378685327301,29.082993882202462
16.554621848739497,11015.819387358995,27.336842816307087
16.554621848739497,11902.282447787144,25.695531147527333
16.554621848739497,12860.08080610565,24.152764289213604
16.554621848739497,13894.954943731389,22.7026255834547
16.554621848739497,15013.107289081743,21.339553610131052
16.554621848739497,16221.239391291729,20.05832085833844
16.554621848739497,17526.592085367585,18.854013678385662
16.554621848739497,18936.988889503602,17.72201343747972
16.554621848739497,20460.88289466011,16.657978806828964
16.554621848739497,22107.407427431233,15.657829112233486
16.554621848739497,23886.430789846003,14.717728684310677
16.554621848739497,25808.615404180768,13.834072148337775
16.554621848739497,27885.481717262915,13.003470597296074
16.554621848739497,30129.47724726992,12.222738595089695
16.554621848739497,32554.05118685032,11.488881960094586
16.554621848739497,35173.7350096938,10.799086282186673
16.554621848739497,38004.22956365882,10.150706129210885
